#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Mar 22 13:48:35 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       soc_toplevel_sram_map.ncd
#OUTPUT FILE:      soc_toplevel_sram_pad.csv
#PART TYPE:        xc6slx16
#SPEED GRADE:      -2
#PACKAGE:          ftg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C2,fb_mbus_cmd_addr<2>,IOB,IO_L48N_M3BA1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
C3,fb_mbus_cmd_addr<5>,IOB,IO_L48P_M3BA0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
C4,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,
C5,,IOBS,IO_L3N_0,UNUSED,,0,,,,,,,,,
C6,,IOBS,IO_L7N_0,UNUSED,,0,,,,,,,,,
C7,fb_mbus_cmd_addr<14>,IOB,IO_L6P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C8,,IOBS,IO_L38N_VREF_0,UNUSED,,0,,,,,,,,,
C9,,IOBM,IO_L34P_GCLK19_0,UNUSED,,0,,,,,,,,,
C10,,IOBS,IO_L37N_GCLK12_0,UNUSED,,0,,,,,,,,,
C11,,IOBM,IO_L39P_0,UNUSED,,0,,,,,,,,,
C12,,,TDI,,,,,,,,,,,,
C13,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
C14,,,TCK,,,,,,,,,,,,
C15,fb_mbus_cmd_addr<26>,IOB,IO_L33P_A15_M1A10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
C16,fb_mbus_cmd_addr<27>,IOB,IO_L33N_A14_M1A4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
D1,fb_mbus_cmd_addr<1>,IOB,IO_L49N_M3A2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D2,,,VCCO_3,,,3,,,,,2.50,,,,
D3,fb_mbus_cmd_addr<0>,IOB,IO_L49P_M3A7_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D4,,,GND,,,,,,,,,,,,
D5,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
D6,,IOBM,IO_L7P_0,UNUSED,,0,,,,,,,,,
D7,,,VCCO_0,,,0,,,,,2.50,,,,
D8,,IOBM,IO_L38P_0,UNUSED,,0,,,,,,,,,
D9,,IOBS,IO_L40N_0,UNUSED,,0,,,,,,,,,
D10,,,VCCO_0,,,0,,,,,2.50,,,,
D11,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
D12,,IOBS,IO_L66N_SCP0_0,UNUSED,,0,,,,,,,,,
D13,,,GND,,,,,,,,,,,,
D14,fb_mbus_cmd_addr<22>,IOB,IO_L31P_A19_M1CKE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
D15,,,VCCO_1,,,1,,,,,2.50,,,,
D16,fb_mbus_cmd_addr<23>,IOB,IO_L31N_A18_M1A12_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E1,fb_mbus_dout<30>,IOB,IO_L46N_M3CLKN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E2,fb_mbus_dout<31>,IOB,IO_L46P_M3CLK_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E3,fb_mbus_cmd_addr<11>,IOB,IO_L54N_M3A11_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E4,fb_mbus_cmd_addr<10>,IOB,IO_L54P_M3RESET_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E5,,,VCCAUX,,,,,,,,2.5,,,,
E6,,IOBS,IO_L5N_0,UNUSED,,0,,,,,,,,,
E7,,IOBM,IO_L36P_GCLK15_0,UNUSED,,0,,,,,,,,,
E8,,IOBS,IO_L36N_GCLK14_0,UNUSED,,0,,,,,,,,,
E9,,,GND,,,,,,,,,,,,
E10,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
E11,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
E12,fb_mbus_cmd_addr<17>,IOB,IO_L1N_A24_VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E13,fb_mbus_cmd_addr<16>,IOB,IO_L1P_A25_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E14,,,TDO,,,,,,,,,,,,
E15,fb_mbus_cmd_addr<28>,IOB,IO_L34P_A13_M1WE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E16,fb_mbus_cmd_addr<29>,IOB,IO_L34N_A12_M1BA2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F1,fb_mbus_dout<25>,IOB,IO_L41N_GCLK26_M3DQ5_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F2,fb_mbus_dout<22>,IOB,IO_L41P_GCLK27_M3DQ4_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F3,fb_mbus_cmd_addr<9>,IOB,IO_L53N_M3A12_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F4,fb_mbus_cmd_addr<8>,IOB,IO_L53P_M3CKE_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F5,fb_mbus_cmd_addr<13>,IOB,IO_L55N_M3A14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F6,fb_mbus_cmd_addr<12>,IOB,IO_L55P_M3A13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F7,,IOBM,IO_L5P_0,UNUSED,,0,,,,,,,,,
F8,,,VCCAUX,,,,,,,,2.5,,,,
F9,,IOBM,IO_L40P_0,UNUSED,,0,,,,,,,,,
F10,,IOBM,IO_L64P_SCP5_0,UNUSED,,0,,,,,,,,,
F11,,,VCCAUX,,,,,,,,2.5,,,,
F12,fb_mbus_cmd_addr<20>,IOB,IO_L30P_A21_M1RESET_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F13,fb_mbus_cmd_addr<24>,IOB,IO_L32P_A17_M1A8_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F14,fb_mbus_cmd_addr<25>,IOB,IO_L32N_A16_M1A9_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F15,fb_mbus_cmd_addr<30>,IOB,IO_L35P_A11_M1A7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F16,fb_mbus_cmd_addr<31>,IOB,IO_L35N_A10_M1A2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G1,fb_mbus_dout<24>,IOB,IO_L40N_M3DQ7_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G2,,,GND,,,,,,,,,,,,
G3,fb_mbus_dout<20>,IOB,IO_L40P_M3DQ6_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G4,,,VCCO_3,,,3,,,,,2.50,,,,
G5,fb_mbus_cmd_addr<7>,IOB,IO_L51N_M3A4_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G6,fb_mbus_cmd_addr<6>,IOB,IO_L51P_M3A10_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.2,,,,
G10,,,VCCAUX,,,,,,,,2.5,,,,
G11,fb_mbus_cmd_addr<21>,IOB,IO_L30N_A20_M1A11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G12,fb_mbus_din<1>,IOB,IO_L38P_A5_M1CLK_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G13,,,VCCO_1,,,1,,,,,2.50,,,,
G14,fb_mbus_din<2>,IOB,IO_L36P_A9_M1BA0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G15,,,GND,,,,,,,,,,,,
G16,fb_mbus_din<3>,IOB,IO_L36N_A8_M1BA1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H1,fb_mbus_dout<19>,IOB,IO_L39N_M3LDQSN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H2,fb_mbus_dout<14>,IOB,IO_L39P_M3LDQS_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H3,fb_mbus_dout<28>,IOB,IO_L44N_GCLK20_M3A6_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H4,fb_mbus_cmd_valid,IOB,IO_L44P_GCLK21_M3A5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H5,fb_mbus_dout<26>,IOB,IO_L43N_GCLK22_IRDY2_M3CASN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H6,,,VCCAUX,,,,,,,,2.5,,,,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.2,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,VCCINT,,,,,,,,1.2,,,,
H11,fb_mbus_cmd_ready,IOB,IO_L38N_A4_M1CLKN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H12,,,GND,,,,,,,,,,,,
H13,fb_mbus_valid,IOB,IO_L39P_M1A3_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H14,fb_mbus_din<7>,IOB,IO_L39N_M1ODT_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H15,fb_mbus_din<4>,IOB,IO_L37P_A7_M1A0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H16,fb_mbus_din<0>,IOB,IO_L37N_A6_M1A1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J1,fb_mbus_dout<12>,IOB,IO_L38N_M3DQ3_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J2,,,VCCO_3,,,3,,,,,2.50,,,,
J3,fb_mbus_dout<23>,IOB,IO_L38P_M3DQ2_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J4,CPU_CLK,IOB,IO_L42N_GCLK24_M3LDM_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J5,,,GND,,,,,,,,,,,,
J6,fb_mbus_dout<18>,IOB,IO_L43P_GCLK23_M3RASN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J7,,,VCCINT,,,,,,,,1.2,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VCCINT,,,,,,,,1.2,,,,
J10,,,VCCAUX,,,,,,,,2.5,,,,
J11,fb_mbus_din<5>,IOB,IO_L40P_GCLK11_M1A5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J12,fb_mbus_din<6>,IOB,IO_L40N_GCLK10_M1A6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J13,fb_mbus_din<9>,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J14,fb_mbus_din<11>,IOB,IO_L43P_GCLK5_M1DQ4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J15,,,VCCO_1,,,1,,,,,2.50,,,,
J16,fb_mbus_din<12>,IOB,IO_L43N_GCLK4_M1DQ5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K1,fb_mbus_dout<15>,IOB,IO_L37N_M3DQ1_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K2,fb_mbus_dout<21>,IOB,IO_L37P_M3DQ0_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K3,fb_mbus_dout<16>,IOB,IO_L42P_GCLK25_TRDY2_M3UDM_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K4,,,VCCO_3,,,3,,,,,2.50,,,,
K5,fb_mbus_cmd_addr<3>,IOB,IO_L47P_M3A0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K6,fb_mbus_cmd_addr<4>,IOB,IO_L47N_M3A1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.2,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,VCCINT,,,,,,,,1.2,,,,
K11,fb_mbus_din<10>,IOB,IO_L42N_GCLK6_TRDY1_M1LDM_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K12,fb_mbus_ready,IOB,IO_L42P_GCLK7_M1UDM_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K13,,,VCCO_1,,,1,,,,,2.50,,,,
K14,fb_mbus_din<8>,IOB,IO_L41N_GCLK8_M1CASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K15,fb_mbus_din<13>,IOB,IO_L44P_A3_M1DQ6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K16,fb_mbus_din<14>,IOB,IO_L44N_A2_M1DQ7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L1,fb_mbus_dout<13>,IOB,IO_L36N_M3DQ9_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L2,,,GND,,,,,,,,,,,,
L3,fb_mbus_dout<11>,IOB,IO_L36P_M3DQ8_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L4,fb_mbus_dout<29>,IOB,IO_L45P_M3A3_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L5,fb_mbus_dout<27>,IOB,IO_L45N_M3ODT_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L6,,,VCCAUX,,,,,,,,2.5,,,,
L7,,IOBS,IO_L62N_D6_2,UNUSED,,2,,,,,,,,,
L8,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
L9,,,VCCAUX,,,,,,,,2.5,,,,
L10,,IOBM,IO_L16P_2,UNUSED,,2,,,,,,,,,
L11,,,CMPCS_B_2,,,,,,,,,,,,
L12,fb_mbus_din<31>,IOB,IO_L53P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L13,RST_L,IOB,IO_L53N_VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L14,fb_mbus_din<19>,IOB,IO_L47P_FWE_B_M1DQ0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L15,,,GND,,,,,,,,,,,,
L16,fb_mbus_din<20>,IOB,IO_L47N_LDC_M1DQ1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M1,fb_mbus_dout<8>,IOB,IO_L35N_M3DQ11_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M2,fb_mbus_dout<17>,IOB,IO_L35P_M3DQ10_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M3,fb_mbus_dout<1>,IOB,IO_L1N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M4,fb_mbus_dout<0>,IOB,IO_L1P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M5,fb_mbus_dout<2>,IOB,IO_L2P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M6,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
M7,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
M8,,,GND,,,,,,,,,,,,
M9,,IOBM,IO_L29P_GCLK3_2,UNUSED,,2,,,,,,,,,
M10,,IOBS,IO_L16N_VREF_2,UNUSED,,2,,,,,,,,,
M11,,IOBS,IO_L2N_CMPMOSI_2,UNUSED,,2,,,,,,,,,
M12,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
M13,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
M14,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
M15,fb_mbus_din<17>,IOB,IO_L46P_FCS_B_M1DQ2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M16,fb_mbus_din<18>,IOB,IO_L46N_FOE_B_M1DQ3_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N1,fb_mbus_dout<9>,IOB,IO_L34N_M3UDQSN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N2,,,VCCO_3,,,3,,,,,2.50,,,,
N3,fb_mbus_dout<10>,IOB,IO_L34P_M3UDQS_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N4,fb_mbus_dout<3>,IOB,IO_L2N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N5,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
N6,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
N7,,,VCCO_2,,,2,,,,,any******,,,,
N8,,IOBS,IO_L29N_GCLK2_2,UNUSED,,2,,,,,,,,,
N9,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
N10,,,VCCO_2,,,2,,,,,any******,,,,
N11,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
N12,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
N13,,,GND,,,,,,,,,,,,
N14,fb_mbus_din<15>,IOB,IO_L45P_A1_M1LDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N15,,,VCCO_1,,,1,,,,,2.50,,,,
N16,fb_mbus_din<16>,IOB,IO_L45N_A0_M1LDQSN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P1,fb_mbus_dout<7>,IOB,IO_L33N_M3DQ13_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P2,fb_mbus_dout<6>,IOB,IO_L33P_M3DQ12_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,IOBM,IO_L63P_2,UNUSED,,2,,,,,,,,,
P5,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
P6,,IOBM,IO_L47P_2,UNUSED,,2,,,,,,,,,
P7,,IOBM,IO_L31P_GCLK31_D14_2,UNUSED,,2,,,,,,,,,
P8,,IOBM,IO_L30P_GCLK1_D13_2,UNUSED,,2,,,,,,,,,
P9,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
P10,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P11,,IOBS,IO_L13N_D10_2,UNUSED,,2,,,,,,,,,
P12,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
P13,,,DONE_2,,,,,,,,,,,,
P14,,,SUSPEND,,,,,,,,,,,,
P15,fb_mbus_din<21>,IOB,IO_L48P_HDC_M1DQ8_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P16,fb_mbus_din<22>,IOB,IO_L48N_M1DQ9_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R1,fb_mbus_dout<5>,IOB,IO_L32N_M3DQ15_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R2,fb_mbus_dout<4>,IOB,IO_L32P_M3DQ14_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R3,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
R4,,,VCCO_2,,,2,,,,,any******,,,,
R5,,IOBM,IO_L48P_D7_2,UNUSED,,2,,,,,,,,,
R6,,,GND,,,,,,,,,,,,
R7,,IOBM,IO_L32P_GCLK29_2,UNUSED,,2,,,,,,,,,
R8,,,VCCO_2,,,2,,,,,any******,,,,
R9,,IOBM,IO_L23P_2,UNUSED,,2,,,,,,,,,
R10,,,GND,,,,,,,,,,,,
R11,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
R12,fb_mbus_din<29>,IOB,IO_L52P_M1DQ14_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R13,,,VCCO_1,,,1,,,,,2.50,,,,
R14,fb_mbus_din<25>,IOB,IO_L50P_M1UDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R15,fb_mbus_din<23>,IOB,IO_L49P_M1DQ10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R16,fb_mbus_din<24>,IOB,IO_L49N_M1DQ11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T1,,,GND,,,,,,,,,,,,
T2,,,PROGRAM_B_2,,,,,,,,,,,,
T3,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
T4,,IOBS,IO_L63N_2,UNUSED,,2,,,,,,,,,
T5,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
T6,,IOBS,IO_L47N_2,UNUSED,,2,,,,,,,,,
T7,,IOBS,IO_L32N_GCLK28_2,UNUSED,,2,,,,,,,,,
T8,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
T9,,IOBS,IO_L23N_2,UNUSED,,2,,,,,,,,,
T10,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
T11,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
T12,fb_mbus_din<30>,IOB,IO_L52N_M1DQ15_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
